user_id,num_transactions_Fri,num_transactions_Mon,num_transactions_Sat,num_transactions_Sun,num_transactions_Thu,num_transactions_Tue,num_transactions_Wed,INBOUND_count,OUTBOUND_count,CANCELLED_count,COMPLETED_count,DECLINED_count,FAILED_count,PENDING_count,REVERTED_count,is_user_engaged,median_usd,mean_usd,min_usd,max_usd,std_usd
user_4517,3,4,4,9,4,0,8,19,13,0,18,3,2,0,9,NOT_ENGAGED,20.92,35.0959375,1.0,209.69,40.4880561328316
user_9318,14,17,16,31,14,13,18,23,100,0,114,4,0,0,5,ENGAGED,20.66,103.6037398373984,0.18,841.68,166.86818913907683
user_8123,85,120,90,83,65,71,104,97,521,0,557,18,1,6,36,ENGAGED,26.875,193.01229773462777,1.0,5000.0,543.3200524381753
user_6243,112,83,114,74,129,113,90,91,624,0,684,21,1,0,9,ENGAGED,8.0,20.85815384615383,0.0,500.0,45.77016335703643
user_4345,10,8,2,10,19,17,2,18,50,0,59,3,1,0,5,ENGAGED,20.0,40.939117647058836,0.0,250.0,54.43706980871661
user_8638,9,7,14,8,4,1,7,17,33,0,48,1,0,0,1,ENGAGED,17.97,76.1994,0.0,500.0,105.08984809724505
user_9606,50,79,86,90,51,59,41,149,307,0,448,3,1,1,3,ENGAGED,21.28,74.14171052631585,0.0,8553.2,413.6808303555546
user_4366,42,46,51,54,47,61,39,94,246,0,291,27,16,0,6,ENGAGED,29.185,153.6796764705881,0.34,1787.24,304.84130061309287
user_4399,91,100,81,125,63,79,81,64,556,2,564,12,9,4,29,ENGAGED,4.895,42.59662903225791,0.0,1377.82,129.13418122507255
user_2173,34,25,33,28,26,23,28,40,157,0,171,17,2,0,7,ENGAGED,67.19,133.16837563451767,0.73,1667.6,198.69652931451444
user_8168,27,58,32,63,30,58,40,41,267,0,286,5,12,1,4,ENGAGED,4.97,31.488344155844203,0.0,597.57,68.98702750299336
user_1363,21,21,20,8,29,30,19,26,122,0,130,6,2,0,10,ENGAGED,10.0,689.1291216216213,0.0,13425.81,2441.610956915363
user_6073,222,198,263,224,218,268,179,452,1120,0,1450,62,10,13,37,ENGAGED,6.595000000000001,42.42361323155206,0.0,851.06,106.70562677959855
user_6536,122,142,133,140,120,120,148,262,663,0,842,33,1,10,39,ENGAGED,9.14,109.89367567567567,0.0,9223.0,509.0914340284993
user_8912,35,13,22,12,18,17,24,23,118,0,131,4,2,1,3,ENGAGED,6.99,26.642978723404248,0.0,111.98,35.69449482852825
user_2216,14,3,14,6,0,8,11,21,35,0,39,7,5,0,5,ENGAGED,20.625,103.44464285714284,0.2,481.12,152.73913831895078
user_1625,19,20,46,18,33,23,17,39,137,0,166,0,2,2,6,ENGAGED,30.0,75.7921590909091,0.0,600.0,104.44044426177723
user_9578,137,186,157,124,107,132,105,328,620,3,830,43,19,17,36,ENGAGED,8.51,1017.5391772151913,0.0,851064.53,27638.34729335241
user_3567,19,13,11,5,9,5,14,32,44,0,66,0,0,0,10,ENGAGED,44.879999999999995,82.95302631578947,0.04,600.0,120.01592399921753
user_6034,17,19,17,26,19,21,16,28,107,0,127,6,0,0,2,ENGAGED,100.0,131.14377777777784,0.0,621.59,124.26057615498232
user_4243,525,434,537,570,458,474,383,1313,2068,2,2995,228,19,29,108,ENGAGED,3.7,24.215702454894828,0.0,1100.48,72.41497177011448
user_3959,29,20,20,33,35,32,29,23,175,0,187,4,2,0,5,ENGAGED,57.0,213.32883838383836,0.0,5000.0,598.635489201176
user_7847,30,7,19,18,25,18,30,12,135,0,130,12,3,0,2,ENGAGED,41.98,122.20605442176867,0.0,1702.13,219.03718044166072
user_2663,24,19,21,18,21,19,9,14,117,0,126,0,0,0,5,ENGAGED,16.33,61.49984732824428,0.0,1000.0,154.7379613907367
user_8092,15,12,34,24,14,37,21,40,117,0,133,12,8,0,4,ENGAGED,61.64,147.11961783439477,0.0,1276.6,202.3694659967302
user_719,26,33,26,22,26,36,16,26,159,0,155,15,0,0,15,ENGAGED,9.11,19.738378378378382,0.0,212.77,27.596047873302744
user_6016,20,12,5,17,3,14,9,39,41,0,58,3,2,0,17,ENGAGED,33.985,103.63125,0.0,879.91,182.81728171069773
user_7479,52,41,48,50,22,25,17,24,231,0,239,11,0,0,5,ENGAGED,34.95,123.16949019607847,0.21,3000.0,301.0601112776233
user_3124,9,10,15,13,13,7,8,10,65,0,72,2,0,0,1,ENGAGED,29.94,216.22466666666665,1.0,1878.54,418.2937778427765
user_3123,9,6,12,4,7,12,7,15,42,0,55,0,0,0,2,ENGAGED,40.09,85.23631578947368,1.0,450.39,106.50312707735691
user_2322,49,75,50,44,38,52,29,43,294,1,316,10,2,1,7,ENGAGED,10.0,24.31359050445104,0.0,255.32,36.73911534449487
user_9186,11,14,12,7,7,10,14,25,50,0,71,0,2,0,2,ENGAGED,31.91,117.41800000000008,0.01,1052.84,214.0102537073677
user_1390,14,8,19,8,2,4,0,25,30,0,34,4,1,0,16,ENGAGED,45.56,62.542363636363646,0.0,200.0,56.26238931752874
user_1731,99,48,85,95,135,118,121,37,664,0,630,47,0,2,22,ENGAGED,2.87,11.50746077032811,0.0,500.0,40.45271843735195
user_964,51,24,54,47,48,59,56,63,276,0,314,6,9,3,7,ENGAGED,40.44,148.74870206489675,0.0,1550.0,274.635647805684
user_568,27,30,41,35,28,20,15,19,177,0,177,4,7,1,7,ENGAGED,9.934999999999999,57.30602040816326,0.0,1000.0,144.98779872088474
user_6268,15,10,12,6,20,20,24,35,72,0,73,10,2,1,21,ENGAGED,16.34,51.62439252336449,0.0,462.7,81.84591908058923
user_646,203,271,247,258,228,216,221,221,1423,0,1584,32,5,3,20,ENGAGED,5.81,25.5718309002433,0.0,3219.58,133.41022787673938
user_4056,1,7,9,9,5,6,6,10,33,0,33,2,5,0,3,NOT_ENGAGED,39.06,60.66302325581397,0.85,340.43,74.71780818312273
user_3872,25,42,17,31,27,29,48,41,178,0,184,13,9,0,13,ENGAGED,12.77,105.74890410958898,0.0,1276.6,185.681135302029
user_7436,17,17,82,36,11,42,19,51,173,0,159,33,11,2,19,ENGAGED,13.875,56.89517857142857,0.0,537.09,95.42899719110906
user_6794,76,30,61,44,33,41,32,85,232,1,283,16,7,0,10,ENGAGED,14.47,108.6578233438486,0.0,17021.29,1011.0548382086819
user_8682,6,6,10,9,4,14,7,15,41,0,48,1,3,0,4,ENGAGED,15.665,71.03803571428573,1.0,320.0,92.7236723804002
user_1664,10,6,14,15,8,5,2,15,45,0,54,0,3,0,3,ENGAGED,32.315,99.20916666666663,0.77,695.0,127.50194382422099
user_5897,22,62,30,57,25,68,51,79,236,0,300,11,0,0,4,ENGAGED,1.0,290.7404444444445,0.01,20000.0,1499.6136179889018
user_2899,18,11,27,42,20,15,15,28,120,0,142,2,0,0,4,ENGAGED,15.97,46.55114864864864,0.0,596.5,82.57854740711362
user_4576,29,45,31,50,22,38,15,37,193,0,196,21,1,0,12,ENGAGED,11.915,35.32852173913048,0.0,341.26,65.46141105676834
user_9801,78,38,72,60,39,37,53,23,354,0,350,12,1,0,14,ENGAGED,6.15,53.15307692307691,0.0,1500.0,145.31714991215756
user_4450,22,13,17,9,8,16,19,28,76,0,71,13,9,2,9,ENGAGED,13.485,35.04461538461537,0.0,198.63,46.957245518096045
user_3183,139,106,103,107,98,89,121,105,658,0,725,14,4,2,18,ENGAGED,0.85,86.94049803407609,0.0,6896.34,499.6468636002088
user_3188,76,22,102,50,74,64,61,22,427,0,418,25,0,5,1,ENGAGED,3.98,13.170000000000002,0.2,229.87,24.655586461287022
user_182,0,0,9,0,1,0,1,7,4,0,8,0,1,0,2,NOT_ENGAGED,599.53,418.97909090909087,1.0,639.31,281.2168310202839
user_6870,233,234,245,301,197,170,153,693,840,0,1376,82,12,18,45,ENGAGED,7.06,1165922.8407892962,0.0,1702129063.82,43526068.36319453
user_7832,52,57,79,69,81,49,52,29,410,0,420,15,0,2,2,ENGAGED,16.8,73.23537585421414,0.0,750.0,142.45229935840067
user_3945,4,12,18,19,19,23,11,21,85,1,95,5,1,0,4,ENGAGED,29.77,45.883490566037736,0.0,258.31,58.341017834672925
user_5737,12,18,5,6,20,4,3,42,26,0,19,12,3,0,34,ENGAGED,5.07,24.75117647058825,0.2,325.61,66.18228972483595
user_397,33,17,31,22,47,19,34,25,178,0,176,4,2,0,21,ENGAGED,3.29,12.659753694581289,0.0,170.21,31.635574214476133
user_4849,28,29,39,49,28,30,38,65,176,0,215,5,11,0,10,ENGAGED,26.45,527.4712863070539,0.0,7754.46,1653.864220150923
user_324,47,33,27,21,17,25,29,48,151,0,188,4,3,0,4,ENGAGED,94.47,133.13221105527631,0.0,1000.0,172.40648369283846
user_4246,19,10,12,10,5,5,2,12,51,0,59,1,0,0,3,ENGAGED,113.66,215.1166666666667,0.4,1000.0,233.0703084700464
user_414,54,44,38,39,57,16,34,71,211,0,228,20,19,2,13,ENGAGED,10.0,36.24521276595746,0.0,600.0,75.92115299921605
user_4548,85,57,81,102,90,60,102,30,547,0,549,15,0,1,12,ENGAGED,2.92,15.738249566724448,0.0,722.55,62.528147955041845
user_8455,2,4,1,4,2,6,3,3,19,0,19,2,0,0,1,NOT_ENGAGED,22.165,73.42863636363637,1.0,500.0,122.60000486659877
user_5773,21,24,24,12,21,38,18,34,124,0,142,3,3,0,10,ENGAGED,16.93,56.10778481012661,0.0,994.16,139.25739266645465
user_5772,18,11,11,27,13,21,23,31,93,0,85,28,3,0,8,NOT_ENGAGED,100.0,190.88250000000008,0.0,1700.0,312.40220238448194
user_6219,12,15,6,17,2,11,8,19,52,0,55,5,4,0,7,ENGAGED,12.97,23.086619718309866,0.0,100.0,27.929611114046885
user_8932,31,13,44,24,17,21,11,23,138,0,137,20,0,0,4,ENGAGED,17.02,47.81024844720499,0.0,519.15,85.40273444795481
user_9119,48,33,34,73,21,25,52,75,211,1,213,50,11,1,10,ENGAGED,8.51,22.419790209790253,0.0,334.11,44.607319389464855
user_6894,14,16,8,9,11,8,9,4,71,0,56,16,0,0,3,ENGAGED,7.85,14.681599999999992,0.0,255.32,31.936361638463186
user_6180,30,21,26,20,29,31,40,28,169,0,186,6,0,0,5,ENGAGED,68.4,123.7594923857868,0.0,700.0,144.00224282460502
user_7799,292,239,326,239,232,249,169,189,1557,0,1702,25,9,3,7,ENGAGED,3.15,14.728339060710104,0.0,451.06,34.61768279936272
user_8098,47,27,78,46,23,38,20,95,184,0,253,19,3,1,3,ENGAGED,14.62,56.474265232974965,0.0,808.51,108.50897094207379
user_2654,29,40,21,35,35,46,36,34,208,0,226,11,3,0,2,ENGAGED,9.155,24.31892561983473,0.2,159.07,30.22093853294222
user_2340,9,3,7,10,13,6,13,16,45,0,48,3,2,0,8,ENGAGED,8.0,58.879344262295085,0.1,452.44,117.91789770667911
user_2430,34,17,7,19,25,21,16,39,100,0,116,13,4,0,6,ENGAGED,10.0,34.767769784172664,0.0,150.37,49.25307236857127
user_2799,16,26,29,15,22,9,8,42,83,0,74,31,9,0,11,ENGAGED,17.02,42.322880000000026,0.0,229.79,64.9052363041937
user_1255,101,77,150,134,107,88,77,43,691,0,689,18,6,0,21,ENGAGED,4.865,21.61119891008176,0.0,851.06,78.93951774012558
user_2017,13,4,13,12,16,6,5,9,60,0,62,2,3,0,2,ENGAGED,45.0,190.54681159420286,1.0,1598.2,364.3315032538554
user_1048,86,110,111,118,78,72,80,64,591,0,633,21,1,0,0,ENGAGED,6.6,29.96418320610687,0.0,854.16,96.23483138695919
user_473,7,8,6,3,4,6,6,9,31,0,36,2,0,0,2,NOT_ENGAGED,16.475,52.078999999999986,0.6,250.0,72.12752199918967
user_3027,23,15,19,3,19,27,8,21,93,0,88,13,4,4,5,ENGAGED,16.56,43.34684210526314,0.09,425.53,74.49564834134847
user_1682,26,14,41,25,29,13,15,36,127,0,136,4,1,1,21,ENGAGED,23.38,47.79723926380368,0.0,297.87,59.770552529976634
user_6270,29,19,20,18,16,16,33,27,124,0,138,2,9,0,2,ENGAGED,33.21,75.09900662251655,0.56,400.0,87.19809973277297
user_4273,44,19,15,18,20,36,27,41,138,0,150,12,0,11,6,ENGAGED,12.88,41.80541899441342,0.0,500.43,79.0650394069628
user_2968,140,11,113,48,163,90,131,43,653,0,652,16,1,11,16,ENGAGED,1.0,24.62451149425278,0.0,450.0,63.05844907741378
user_6948,16,25,12,21,13,9,23,30,89,0,111,1,0,0,7,ENGAGED,25.54,64.4410924369748,0.51,400.0,84.12617169496485
user_3369,19,6,22,13,10,9,13,12,80,0,78,7,5,0,2,ENGAGED,33.59,77.85782608695656,0.0,936.17,144.26723467100135
user_5718,404,217,426,298,363,367,312,669,1718,0,2007,273,38,11,58,ENGAGED,1.65,54.79425219941325,0.0,8951.51,271.2849259675618
user_6277,15,14,20,17,23,13,8,12,98,0,98,2,3,0,7,ENGAGED,27.09,107.77481818181819,1.0,1500.0,238.78977138256803
user_4126,5,8,6,9,13,1,2,13,31,0,43,0,0,0,1,ENGAGED,45.75,63.53409090909091,1.0,159.84,49.735022395116154
user_7792,23,26,27,45,16,33,12,44,138,0,165,10,1,1,5,ENGAGED,38.525,69.55719780219773,0.0,491.4,81.71759836941199
user_587,83,69,66,69,55,65,65,67,405,0,438,18,4,1,11,ENGAGED,22.619999999999997,94.15866525423733,0.0,5106.39,410.2624149894695
user_2840,69,64,99,80,74,67,65,103,415,0,342,79,7,57,33,ENGAGED,8.895,46.24405405405411,0.0,1020.27,121.2139142376379
user_4732,26,11,9,9,18,11,18,23,79,0,91,2,2,0,7,ENGAGED,25.985,76.97980392156863,1.0,600.0,125.35971440618702
user_8535,17,14,14,23,19,13,9,23,86,0,102,3,1,1,2,ENGAGED,100.0,108.59899082568806,0.62,500.0,106.60936295780232
user_3206,353,249,217,243,298,243,230,194,1639,0,1749,65,3,4,12,ENGAGED,5.25,4666.540256410212,0.0,8510645.32,198783.3816425842
user_5784,36,24,32,22,44,34,37,40,189,1,212,9,2,2,3,ENGAGED,9.0,22.268864628820964,0.0,382.98,41.35302943488084
user_4663,17,14,11,7,5,8,13,17,58,0,62,4,4,0,5,ENGAGED,27.02,108.58640000000001,0.0,1148.94,240.50398438931344
user_5433,4,2,3,2,15,3,0,6,23,0,27,1,0,0,1,ENGAGED,23.83,54.475862068965505,1.0,400.0,93.12962857211608
user_8395,45,32,27,30,25,43,27,35,194,0,211,6,8,0,4,ENGAGED,7.12,49.53668122270742,0.14,994.16,123.93796310134087
user_8258,72,98,66,52,61,43,79,100,371,1,430,9,12,0,19,ENGAGED,8.51,45.87707006369426,0.0,532.91,91.49575890364892
user_7204,62,29,42,35,43,23,30,92,172,0,228,14,0,6,16,ENGAGED,6.385,48.38636363636367,0.0,2212.77,166.72281163826045
user_9181,201,122,186,148,187,172,197,198,1015,0,1141,47,5,6,14,ENGAGED,8.51,21.097337180544123,0.0,638.3,40.44274149567163
user_8214,3,5,3,13,4,2,8,8,30,0,28,9,0,0,1,ENGAGED,79.16499999999999,87.68763157894736,1.0,500.0,94.84803841691337
user_1476,2,0,7,1,3,7,3,8,15,0,19,0,0,0,4,ENGAGED,50.0,86.78391304347826,1.0,201.0,84.78561470712366
user_2127,5,16,20,18,6,3,4,18,54,0,64,0,3,0,5,ENGAGED,106.935,182.75763888888895,1.0,551.92,176.7516439072749
user_8314,2,1,5,2,5,3,10,8,20,0,23,0,1,0,4,ENGAGED,13.75,64.19642857142857,1.0,300.0,89.59279130286741
user_6312,45,25,49,43,41,42,43,40,248,0,246,27,2,0,13,ENGAGED,8.875,36.02371527777781,0.0,1361.7,127.98398793747046
user_5964,41,28,36,57,38,40,41,56,225,0,241,32,2,0,6,ENGAGED,5.64,9.241387900355866,0.0,140.0,12.323241218862899
user_3300,83,42,46,50,38,51,66,101,275,0,240,11,15,16,94,ENGAGED,2.19,94.16151595744675,0.0,3527.5,325.8421515259024
user_2902,88,50,92,14,92,105,91,42,490,0,514,4,5,0,9,ENGAGED,6.77,96.82898496240625,0.0,1914.04,230.51096168587773
user_570,92,96,107,110,88,104,70,115,552,0,636,10,8,0,13,ENGAGED,12.76,96.63917541229377,0.0,2995.25,302.02471922193854
user_1327,72,78,70,58,68,90,93,190,339,0,470,18,11,1,29,ENGAGED,18.98,39.60249527410206,0.0,825.54,86.93502486081023
user_3174,31,19,20,15,22,15,27,39,110,0,134,0,4,0,11,ENGAGED,31.37,155.5882550335571,0.0,1000.0,234.41730632579717
user_4165,36,23,24,28,50,28,42,38,193,4,97,92,12,0,26,ENGAGED,10.77,17.952380952380953,0.0,255.32,32.108768231588954
user_498,59,75,102,116,47,91,75,93,472,1,471,64,5,0,24,ENGAGED,5.99,20.5221946902655,0.0,373.28,41.829717991298146
user_8179,9,6,5,18,10,5,15,12,56,0,59,3,0,1,5,ENGAGED,19.42,51.5510294117647,0.0,425.53,88.15177952402806
user_2071,50,41,39,58,75,71,54,92,296,0,354,13,2,0,19,ENGAGED,5.145,35.42752577319588,0.0,509.84,83.5571079870191
user_6077,6,5,19,11,4,9,14,13,55,0,46,13,4,0,5,ENGAGED,13.92,32.272647058823544,0.2,397.66,59.28598401267524
user_2036,29,22,34,37,24,21,56,32,191,0,201,4,6,0,12,ENGAGED,2.6,71.28502242152456,0.0,1722.55,285.2659823773046
user_6791,1,0,2,0,2,3,0,4,4,0,6,0,0,0,2,NOT_ENGAGED,100.265,88.10499999999999,1.0,200.0,69.15375085375237
user_2075,7,2,1,0,5,4,1,6,14,0,17,1,1,0,1,NOT_ENGAGED,7.135,94.52399999999999,0.85,411.68,143.73406058631886
user_2180,26,20,11,17,11,2,10,27,70,0,79,5,3,0,10,ENGAGED,14.59,37.63608247422681,0.0,317.74,54.804471315393556
user_1170,36,46,29,36,29,20,27,34,189,0,211,3,3,0,6,ENGAGED,8.95,44.72147982062783,0.08,556.92,87.51608178113774
user_1897,38,13,27,12,32,31,24,16,161,1,153,9,0,4,10,ENGAGED,52.19,365.0450847457627,0.0,5787.24,901.0370202187479
user_3578,249,224,285,285,180,131,198,642,910,1,1359,127,4,17,44,ENGAGED,3.9850000000000003,11.168092783505159,0.0,397.18,27.93187313652026
user_2209,40,47,31,42,34,38,21,45,208,1,217,3,2,0,30,ENGAGED,17.19,58.92201581027664,0.0,397.18,80.0517288876668
user_2961,33,26,24,33,37,15,23,20,171,0,169,16,2,0,4,ENGAGED,16.98,57.827120418848146,0.01,500.0,90.0622281512017
user_3487,8,3,4,0,1,0,0,9,7,0,12,0,0,0,4,NOT_ENGAGED,158.87,157.9075,0.08,357.48,91.95706719261258
user_116,44,44,28,55,26,34,35,83,183,0,216,9,4,2,35,ENGAGED,15.89,25.93278195488722,0.08,238.31,31.780051102548256
user_1452,23,12,40,16,23,8,22,28,116,0,131,2,3,1,7,ENGAGED,5.245,12.014999999999997,0.0,200.0,21.77999133098134
user_2034,8,11,0,12,9,11,7,13,45,0,42,9,2,0,5,NOT_ENGAGED,54.44,74.06448275862067,0.0,384.6,78.13313337137788
user_1156,36,23,35,45,45,16,29,41,188,0,167,28,13,6,15,ENGAGED,7.94,29.59301310043668,0.0,238.31,46.931318267255804
user_951,5,4,2,2,0,2,3,3,15,0,10,4,0,0,4,NOT_ENGAGED,3.27,9.341111111111111,0.0,41.23,13.244590411311279
user_4804,26,57,40,66,33,42,24,54,234,0,256,13,3,7,9,ENGAGED,50.0,175.24972222222223,0.0,1756.02,295.1248679246099
user_2596,39,33,55,64,60,42,33,41,285,0,284,33,1,0,8,ENGAGED,6.145,55.46006134969326,0.0,873.79,145.8271704555538
user_4933,150,87,123,66,125,156,119,26,800,0,773,22,1,5,25,ENGAGED,2.46,78.14805084745745,0.0,3258.25,319.8168631606115
user_2223,37,25,28,61,48,40,42,62,219,0,255,15,6,0,5,ENGAGED,34.6,145.6430249110321,0.0,1484.15,238.88977674658145
user_5835,13,12,9,13,13,6,13,19,60,0,68,3,7,0,1,ENGAGED,10.43,23.413291139240517,0.18,159.07,32.54970584456943
user_4979,3,14,6,9,4,8,15,13,46,0,52,2,1,1,3,ENGAGED,23.83,89.52457627118645,0.0,1161.47,215.13852054385825
user_3555,47,65,54,58,77,88,85,86,388,0,417,39,4,2,12,ENGAGED,7.79,32.52031645569623,0.0,994.16,87.1748267877892
user_2301,226,203,182,163,238,240,283,123,1412,0,1493,18,0,3,21,ENGAGED,1.79,30.793667752442886,0.0,1872.34,141.99099123931396
user_2718,13,23,14,6,21,17,20,23,91,0,77,14,0,5,18,ENGAGED,5.565,19.925438596491237,0.0,270.24,42.05941448892345
user_6556,60,87,46,57,57,41,55,61,342,0,373,12,12,0,6,ENGAGED,8.58,130.6520595533499,0.01,9191.5,781.4992153747309
user_4100,10,10,12,28,28,19,7,33,81,0,81,3,3,1,26,ENGAGED,7.94,33.61447368421054,0.0,563.26,77.82761108983514
user_1845,29,22,26,23,9,14,12,33,102,0,119,5,2,0,9,NOT_ENGAGED,14.36,53.44925925925927,0.04,604.26,106.5967215453802
user_2108,77,101,96,63,84,93,84,65,533,0,487,57,1,0,53,ENGAGED,6.9,59.20762541806023,0.0,1738.28,194.5525175097813
user_5879,11,12,12,10,8,22,17,15,77,0,84,2,0,0,6,NOT_ENGAGED,6.3149999999999995,46.23673913043476,0.0,317.74,89.7451373210068
user_774,162,146,248,162,118,95,110,154,887,0,1018,17,2,1,3,ENGAGED,8.78,31.875446685878916,0.0,1489.36,102.2259486825879
user_5783,20,28,32,21,16,12,15,18,126,0,132,5,0,0,7,ENGAGED,8.74,37.37562499999998,0.0,397.18,77.29491951495535
user_3158,5,0,0,1,1,1,2,3,7,0,7,0,3,0,0,ENGAGED,33.6,95.034,0.08,656.52,200.30478017261592
user_4284,13,35,51,21,36,21,11,47,141,0,146,18,12,0,12,NOT_ENGAGED,20.71,60.24521276595744,0.08,1191.53,120.89977343457691
user_4326,0,0,0,0,0,0,3,3,0,0,1,0,1,0,1,NOT_ENGAGED,74.11,51.21000000000001,0.08,79.44,44.36000338142458
user_436,128,102,103,122,99,122,92,35,733,0,699,24,3,7,35,ENGAGED,7.9,41.827799479166636,0.0,1315.0,137.3118999989852
user_1736,41,19,23,21,12,17,14,25,122,0,131,2,5,0,9,ENGAGED,25.5,105.1053741496598,0.08,1191.53,188.98752457294196
user_3969,59,87,64,81,55,51,65,51,411,0,410,15,3,1,33,ENGAGED,8.785,50.66545454545453,0.0,2893.62,241.43261595969616
user_1045,39,23,26,33,29,50,22,68,154,0,202,6,6,0,8,ENGAGED,6.545,11.10914414414415,0.01,70.42,13.052558171860689
user_3998,21,20,54,21,12,15,7,33,117,0,145,1,0,0,4,ENGAGED,12.77,240.0946666666668,0.85,4267.41,689.9259954873547
user_4705,23,6,11,7,10,22,19,16,82,0,82,8,0,0,8,ENGAGED,3.165,6.392142857142858,0.0,31.77,7.753077107779546
user_6067,3,2,6,2,8,9,19,13,36,0,38,5,1,0,5,ENGAGED,2.38,19.595918367346943,0.08,158.87,37.18737218008103
user_6222,4,4,16,21,4,12,4,15,50,0,39,10,2,0,14,ENGAGED,12.62,55.339230769230745,0.0,397.18,78.20929447058411
user_561,93,87,88,112,142,90,112,109,615,2,653,26,12,3,28,ENGAGED,15.605,401.8865331491729,0.0,255319.36,9487.438337183095
user_830,0,1,0,0,1,0,0,1,1,0,2,0,0,0,0,NOT_ENGAGED,4.345000000000001,4.345000000000001,0.75,7.94,5.084097756731277
user_3620,33,51,84,31,40,58,50,17,330,0,321,7,0,5,14,ENGAGED,4.61,31.385792507204613,0.0,556.05,81.91841743584781
user_960,13,10,19,20,16,10,8,14,82,0,87,4,2,0,3,ENGAGED,7.08,28.34041666666667,0.09,500.0,67.11500980315203
user_471,83,79,107,116,59,76,44,73,491,0,520,10,2,2,30,ENGAGED,19.854999999999997,56.42267730496444,0.0,851.06,97.9487610281919
user_3185,10,9,10,15,12,8,12,20,56,0,59,10,2,2,3,ENGAGED,8.315,114.13486842105263,0.0,1873.0,400.62362836455674
user_3470,0,6,0,0,0,1,0,3,4,0,5,1,0,0,1,NOT_ENGAGED,11.92,11.375714285714285,0.08,20.13,7.544677720404093
user_690,56,19,37,33,31,26,18,26,194,0,208,2,4,0,6,ENGAGED,41.66,152.46054545454558,0.08,1191.53,244.8842264482778
user_1018,36,24,39,36,31,19,29,58,156,0,199,10,0,1,4,ENGAGED,12.34,28.157523364485993,0.0,340.43,46.662762304178464
user_1807,11,18,14,32,16,15,26,20,112,0,100,26,1,0,5,ENGAGED,18.975,41.582954545454534,0.0,300.0,54.87425344552784
user_3818,10,7,12,6,11,6,3,16,39,0,48,1,1,0,5,ENGAGED,12.68,26.538000000000007,0.0,158.87,34.39720312704164
user_5751,0,9,7,2,7,0,0,6,19,0,19,2,0,0,4,NOT_ENGAGED,11.92,19.7604,0.01,85.11,24.042109149018795
user_5065,24,27,44,43,24,36,22,35,185,0,198,7,0,1,14,ENGAGED,19.87,55.14486363636366,0.0,556.05,78.8197519891701
user_6475,5,0,0,7,0,1,0,6,7,0,9,0,2,0,2,ENGAGED,39.72,82.00615384615384,0.08,238.31,100.03631228529483
user_1481,85,82,108,99,94,124,100,59,633,1,629,8,2,5,47,ENGAGED,1.79,13.084263005780347,0.0,570.0,41.636428009281936
user_6408,0,0,0,0,2,0,0,2,0,0,1,0,0,0,1,NOT_ENGAGED,4.01,4.01,0.08,7.94,5.557859300126264
