user_id,num_notifications,num_notified_15,num_notified_30,num_notified_45,num_notified_60,num_notified_90,num_notified_180,num_channles_of_com,num_reasons_com
user_5904,8,8.0,8.0,8.0,8.0,7.0,4.0,2,2
user_6806,7,7.0,7.0,7.0,7.0,7.0,1.0,2,2
user_7869,15,15.0,15.0,15.0,15.0,13.0,8.0,3,5
user_9654,7,7.0,7.0,7.0,7.0,7.0,4.0,2,2
user_1646,4,4.0,4.0,4.0,4.0,3.0,0.0,1,2
user_4717,8,8.0,8.0,8.0,8.0,7.0,1.0,2,4
user_3332,7,7.0,7.0,7.0,7.0,6.0,0.0,2,3
user_6523,9,9.0,9.0,9.0,9.0,6.0,1.0,2,4
user_4824,6,6.0,5.0,5.0,5.0,4.0,0.0,2,3
user_8935,6,6.0,6.0,6.0,6.0,5.0,1.0,2,2
user_5917,13,13.0,13.0,13.0,13.0,12.0,8.0,3,5
user_9905,2,2.0,2.0,2.0,2.0,2.0,0.0,1,1
user_973,11,11.0,11.0,11.0,11.0,9.0,3.0,2,2
user_511,10,10.0,10.0,10.0,10.0,9.0,1.0,2,4
user_9300,8,7.0,7.0,7.0,7.0,7.0,5.0,2,4
user_2312,10,10.0,10.0,10.0,10.0,8.0,3.0,2,5
user_1912,5,5.0,5.0,5.0,5.0,4.0,1.0,2,3
user_6344,10,9.0,9.0,9.0,9.0,8.0,2.0,2,5
user_7479,8,8.0,8.0,8.0,8.0,5.0,1.0,2,4
user_570,9,9.0,7.0,7.0,7.0,6.0,1.0,2,5
user_3681,7,7.0,7.0,7.0,6.0,4.0,1.0,2,3
user_3839,7,7.0,7.0,6.0,6.0,6.0,4.0,2,2
user_8553,9,9.0,9.0,9.0,9.0,8.0,2.0,3,3
user_6869,16,16.0,16.0,16.0,16.0,15.0,6.0,3,3
user_5408,10,10.0,10.0,10.0,10.0,7.0,2.0,3,3
user_3310,7,7.0,7.0,7.0,6.0,5.0,0.0,2,3
user_8792,8,8.0,8.0,8.0,8.0,7.0,2.0,2,5
user_852,10,10.0,10.0,10.0,10.0,8.0,3.0,2,4
user_3217,11,10.0,9.0,9.0,8.0,6.0,4.0,2,6
user_5277,8,8.0,8.0,8.0,8.0,5.0,1.0,2,5
user_5327,10,10.0,10.0,10.0,10.0,10.0,7.0,3,2
user_7662,12,12.0,12.0,12.0,12.0,12.0,7.0,2,4
user_1851,13,13.0,13.0,13.0,13.0,11.0,7.0,2,4
user_6306,10,10.0,10.0,10.0,10.0,7.0,5.0,3,3
user_9914,8,8.0,8.0,8.0,8.0,6.0,3.0,2,2
user_7344,14,14.0,14.0,14.0,14.0,13.0,5.0,3,3
user_4750,6,6.0,6.0,5.0,5.0,4.0,2.0,2,3
user_2146,8,8.0,8.0,8.0,8.0,6.0,2.0,2,3
user_7374,14,14.0,14.0,14.0,14.0,13.0,7.0,3,5
user_9185,7,7.0,7.0,7.0,7.0,6.0,1.0,2,3
user_3373,11,11.0,11.0,10.0,10.0,10.0,2.0,2,3
user_4614,6,6.0,6.0,5.0,5.0,5.0,1.0,1,3
user_9501,8,8.0,8.0,8.0,8.0,6.0,0.0,2,2
user_313,19,19.0,19.0,19.0,19.0,18.0,13.0,2,5
user_1754,7,7.0,7.0,7.0,7.0,4.0,1.0,2,3
user_1238,10,10.0,10.0,10.0,10.0,8.0,6.0,2,4
user_7292,8,8.0,8.0,8.0,8.0,7.0,2.0,2,3
user_5173,12,12.0,12.0,12.0,12.0,10.0,3.0,2,2
user_5216,8,8.0,8.0,8.0,8.0,7.0,5.0,2,4
user_9567,9,9.0,9.0,9.0,9.0,9.0,4.0,2,3
user_3350,21,21.0,21.0,21.0,21.0,18.0,12.0,3,5
user_1694,7,7.0,7.0,7.0,7.0,5.0,1.0,2,4
user_1696,9,9.0,9.0,9.0,9.0,8.0,0.0,2,4
user_1545,5,5.0,5.0,5.0,5.0,3.0,1.0,2,3
user_9674,9,9.0,9.0,9.0,9.0,9.0,3.0,2,2
user_2938,17,17.0,17.0,17.0,17.0,16.0,9.0,3,4
user_3888,4,4.0,4.0,4.0,4.0,4.0,2.0,2,2
user_8988,9,9.0,9.0,9.0,9.0,7.0,4.0,2,5
user_687,7,7.0,7.0,7.0,7.0,5.0,2.0,2,2
user_6484,12,11.0,11.0,11.0,11.0,9.0,1.0,2,5
user_6456,11,11.0,11.0,11.0,11.0,9.0,5.0,3,2
user_3543,14,14.0,14.0,14.0,14.0,12.0,7.0,2,5
user_4391,10,10.0,10.0,9.0,9.0,9.0,4.0,3,3
user_7385,11,11.0,11.0,11.0,11.0,11.0,4.0,3,3
user_1915,15,15.0,15.0,15.0,15.0,13.0,9.0,2,4
user_1721,8,8.0,8.0,8.0,8.0,5.0,1.0,2,4
user_4185,12,12.0,11.0,11.0,11.0,10.0,0.0,2,5
user_834,14,14.0,14.0,14.0,14.0,13.0,7.0,2,5
user_6390,7,7.0,7.0,7.0,7.0,6.0,3.0,2,3
user_9095,9,9.0,9.0,9.0,9.0,9.0,3.0,2,3
user_4402,9,9.0,9.0,8.0,8.0,7.0,5.0,3,3
user_423,11,10.0,10.0,10.0,10.0,9.0,2.0,2,5
user_9731,6,6.0,6.0,6.0,6.0,5.0,2.0,2,3
user_2899,9,9.0,9.0,8.0,8.0,8.0,2.0,2,4
user_8474,11,11.0,11.0,11.0,11.0,10.0,3.0,2,5
user_3650,8,8.0,8.0,8.0,8.0,7.0,1.0,2,3
user_634,17,17.0,17.0,17.0,17.0,16.0,10.0,2,5
user_2323,14,14.0,14.0,14.0,13.0,12.0,6.0,3,3
user_8638,9,9.0,9.0,9.0,9.0,7.0,3.0,2,4
user_2517,12,12.0,12.0,12.0,12.0,10.0,3.0,2,5
user_3123,13,13.0,13.0,13.0,13.0,11.0,6.0,3,5
user_3750,9,9.0,9.0,9.0,9.0,5.0,0.0,2,4
user_4128,8,8.0,7.0,7.0,7.0,6.0,0.0,2,4
user_7296,7,7.0,7.0,7.0,7.0,6.0,1.0,2,3
user_3494,7,7.0,7.0,7.0,7.0,7.0,4.0,1,1
user_4016,7,7.0,6.0,6.0,6.0,6.0,0.0,2,4
user_1380,14,14.0,14.0,14.0,14.0,12.0,4.0,2,3
user_9250,14,14.0,14.0,14.0,14.0,14.0,5.0,2,6
user_9413,7,7.0,7.0,7.0,7.0,5.0,1.0,2,5
user_207,17,17.0,17.0,17.0,17.0,16.0,7.0,2,4
user_4709,10,10.0,9.0,9.0,9.0,8.0,2.0,2,3
user_752,12,12.0,12.0,12.0,12.0,10.0,6.0,2,3
user_3385,14,14.0,14.0,14.0,14.0,12.0,7.0,3,5
user_2806,10,10.0,10.0,10.0,10.0,8.0,4.0,3,2
user_8552,17,13.0,11.0,11.0,11.0,10.0,4.0,2,4
user_3591,10,10.0,10.0,10.0,9.0,8.0,2.0,2,3
user_7331,7,7.0,7.0,7.0,7.0,4.0,2.0,2,3
user_7604,13,13.0,13.0,13.0,13.0,13.0,5.0,3,3
user_9401,13,13.0,13.0,13.0,13.0,12.0,9.0,3,3
user_9636,15,15.0,15.0,15.0,15.0,14.0,4.0,2,5
user_5964,5,5.0,5.0,5.0,5.0,3.0,0.0,2,3
user_1371,9,9.0,9.0,9.0,9.0,7.0,2.0,2,4
user_7760,9,8.0,8.0,8.0,8.0,6.0,4.0,3,5
user_2980,10,10.0,10.0,10.0,9.0,8.0,2.0,2,3
user_2841,11,11.0,10.0,10.0,10.0,8.0,1.0,2,7
user_9694,5,5.0,5.0,5.0,5.0,5.0,0.0,1,1
user_4397,10,10.0,10.0,10.0,10.0,10.0,3.0,2,3
user_2770,12,12.0,12.0,12.0,12.0,11.0,4.0,2,4
user_1426,8,8.0,8.0,8.0,8.0,6.0,2.0,2,3
user_7654,8,8.0,8.0,8.0,6.0,6.0,1.0,2,3
user_42,9,9.0,9.0,9.0,9.0,7.0,0.0,2,5
user_3376,13,13.0,13.0,13.0,13.0,12.0,6.0,2,5
user_4237,12,12.0,12.0,11.0,11.0,10.0,6.0,2,4
user_9056,9,9.0,9.0,9.0,9.0,8.0,2.0,2,5
user_2456,5,5.0,5.0,5.0,5.0,5.0,1.0,2,3
user_7976,12,12.0,12.0,12.0,12.0,10.0,2.0,2,7
user_1447,8,8.0,8.0,8.0,8.0,7.0,2.0,2,4
user_1379,6,6.0,6.0,6.0,6.0,5.0,1.0,2,3
user_4995,6,6.0,5.0,5.0,5.0,5.0,1.0,2,3
user_340,19,19.0,19.0,19.0,19.0,17.0,11.0,2,6
user_8811,14,12.0,12.0,12.0,12.0,12.0,9.0,2,3
user_7764,10,10.0,10.0,10.0,10.0,10.0,2.0,3,2
user_3883,10,10.0,9.0,9.0,9.0,8.0,3.0,3,4
user_9797,9,9.0,9.0,9.0,9.0,8.0,2.0,2,4
user_4412,9,9.0,9.0,8.0,8.0,7.0,5.0,2,5
user_9474,9,9.0,9.0,9.0,9.0,8.0,1.0,2,4
user_4001,5,5.0,5.0,5.0,5.0,4.0,1.0,2,2
user_7350,10,10.0,10.0,10.0,10.0,9.0,4.0,3,3
user_8017,11,11.0,11.0,11.0,11.0,9.0,3.0,3,4
user_950,13,13.0,13.0,12.0,12.0,11.0,3.0,2,6
user_8011,14,14.0,14.0,14.0,14.0,12.0,9.0,3,3
user_1864,14,14.0,14.0,14.0,14.0,11.0,6.0,2,5
user_6786,10,10.0,10.0,10.0,10.0,9.0,6.0,2,3
user_6013,13,13.0,13.0,13.0,13.0,11.0,6.0,2,2
user_3290,16,16.0,16.0,16.0,16.0,13.0,7.0,3,4
user_3785,10,10.0,9.0,9.0,9.0,8.0,3.0,2,4
user_6930,10,10.0,10.0,10.0,10.0,10.0,5.0,2,3
user_1299,8,8.0,8.0,8.0,8.0,6.0,3.0,3,2
user_7618,11,11.0,11.0,11.0,11.0,10.0,4.0,2,4
user_28,10,10.0,10.0,10.0,10.0,8.0,0.0,2,4
user_5006,11,11.0,10.0,10.0,10.0,9.0,3.0,2,5
user_1967,4,4.0,4.0,4.0,4.0,3.0,0.0,2,2
user_4747,5,5.0,5.0,4.0,4.0,3.0,1.0,2,3
user_4028,8,8.0,8.0,7.0,7.0,7.0,1.0,2,3
user_9338,5,5.0,5.0,5.0,5.0,5.0,2.0,1,1
user_463,3,3.0,3.0,3.0,3.0,3.0,1.0,1,2
user_8048,6,6.0,6.0,6.0,6.0,6.0,1.0,2,3
user_5588,9,9.0,9.0,9.0,9.0,9.0,3.0,2,5
user_7175,11,11.0,11.0,11.0,11.0,9.0,6.0,3,3
user_954,16,16.0,15.0,15.0,15.0,14.0,5.0,2,5
user_6726,8,8.0,8.0,8.0,8.0,5.0,1.0,2,4
user_618,9,9.0,9.0,9.0,9.0,6.0,1.0,2,5
user_5435,6,6.0,6.0,6.0,6.0,5.0,2.0,2,3
user_2974,10,10.0,10.0,10.0,9.0,8.0,3.0,2,4
user_8538,7,6.0,6.0,6.0,6.0,5.0,1.0,2,3
user_6719,9,9.0,9.0,9.0,9.0,6.0,2.0,2,4
user_4083,11,10.0,10.0,10.0,10.0,8.0,2.0,2,7
user_235,19,19.0,19.0,19.0,19.0,15.0,11.0,2,6
user_3507,7,7.0,7.0,7.0,7.0,6.0,1.0,2,4
user_3445,8,8.0,8.0,8.0,7.0,5.0,1.0,2,4
user_3275,9,9.0,9.0,9.0,9.0,9.0,6.0,3,2
user_3665,15,15.0,15.0,15.0,15.0,14.0,3.0,2,6
user_8003,10,10.0,9.0,9.0,9.0,8.0,1.0,2,4
user_2961,9,9.0,9.0,9.0,9.0,8.0,2.0,3,4
user_5851,9,9.0,9.0,9.0,9.0,8.0,3.0,2,5
user_1669,11,11.0,11.0,11.0,11.0,10.0,6.0,2,4
user_479,8,8.0,8.0,8.0,8.0,8.0,2.0,2,3
user_7961,13,13.0,13.0,13.0,13.0,11.0,8.0,2,6
user_5008,8,8.0,8.0,8.0,8.0,8.0,3.0,2,2
user_4674,10,10.0,10.0,9.0,9.0,8.0,3.0,3,3
user_6367,14,14.0,14.0,14.0,14.0,11.0,2.0,2,6
user_3456,6,6.0,6.0,6.0,6.0,5.0,1.0,2,3
user_4271,8,8.0,7.0,7.0,7.0,7.0,2.0,2,3
user_8399,14,14.0,14.0,14.0,14.0,13.0,5.0,2,3
user_7019,11,11.0,11.0,11.0,11.0,9.0,4.0,3,3
user_4036,8,8.0,7.0,7.0,7.0,7.0,2.0,2,4
user_887,7,7.0,7.0,7.0,7.0,6.0,2.0,2,2
user_4453,16,16.0,16.0,16.0,16.0,15.0,0.0,2,3
user_9161,10,10.0,10.0,10.0,10.0,8.0,4.0,3,2
user_3270,8,8.0,8.0,8.0,8.0,5.0,1.0,2,4
user_995,15,15.0,14.0,14.0,14.0,12.0,8.0,2,5
user_842,13,13.0,13.0,13.0,13.0,12.0,5.0,2,4
user_2697,11,11.0,11.0,11.0,10.0,8.0,0.0,2,4
user_3727,15,15.0,15.0,15.0,15.0,13.0,7.0,3,6
user_6541,11,11.0,11.0,11.0,11.0,10.0,5.0,2,2
user_2795,17,17.0,17.0,17.0,17.0,15.0,5.0,2,5
user_6268,7,7.0,7.0,7.0,7.0,6.0,3.0,2,2
user_5149,6,5.0,5.0,5.0,5.0,5.0,0.0,2,3
user_8970,6,6.0,6.0,6.0,6.0,5.0,2.0,2,2
user_7067,9,9.0,9.0,9.0,9.0,7.0,1.0,2,4
user_1398,10,10.0,10.0,10.0,10.0,8.0,4.0,2,6
user_5373,4,4.0,4.0,4.0,4.0,4.0,1.0,2,2
user_2385,17,17.0,17.0,17.0,16.0,15.0,4.0,3,5
user_5575,5,5.0,5.0,5.0,5.0,5.0,1.0,1,2
user_4395,8,8.0,8.0,7.0,7.0,6.0,1.0,2,4
user_2434,8,8.0,8.0,8.0,8.0,7.0,0.0,2,3
user_4840,7,7.0,7.0,7.0,7.0,7.0,3.0,2,2
user_4521,10,10.0,9.0,9.0,9.0,6.0,3.0,2,5
user_3254,7,7.0,7.0,7.0,7.0,5.0,2.0,2,4
user_335,14,14.0,14.0,14.0,14.0,13.0,8.0,2,5
user_5218,12,12.0,12.0,12.0,12.0,10.0,5.0,2,3
user_920,7,7.0,7.0,7.0,7.0,6.0,1.0,2,3
user_1441,12,12.0,12.0,12.0,12.0,11.0,6.0,2,5
user_3778,15,15.0,15.0,15.0,15.0,13.0,6.0,2,4
user_7455,11,11.0,11.0,11.0,11.0,10.0,2.0,2,6
user_4638,7,7.0,7.0,6.0,6.0,6.0,0.0,2,3
user_8928,9,9.0,9.0,9.0,9.0,8.0,1.0,2,4
user_2715,3,3.0,3.0,3.0,3.0,3.0,1.0,2,2
user_2609,8,8.0,8.0,8.0,7.0,6.0,1.0,2,4
user_7893,7,7.0,7.0,7.0,7.0,6.0,1.0,2,3
user_2093,16,16.0,16.0,16.0,16.0,14.0,11.0,3,4
user_8286,6,6.0,6.0,6.0,6.0,6.0,4.0,2,1
user_4342,10,10.0,10.0,10.0,10.0,10.0,4.0,2,3
user_3986,6,6.0,6.0,5.0,5.0,4.0,0.0,2,3
user_1176,11,11.0,11.0,11.0,11.0,9.0,5.0,2,4
user_2407,11,11.0,11.0,11.0,11.0,9.0,6.0,2,4
user_4433,9,7.0,7.0,7.0,7.0,6.0,3.0,3,4
user_9977,13,13.0,13.0,12.0,12.0,11.0,6.0,3,4
user_3101,11,11.0,11.0,11.0,10.0,9.0,4.0,2,5
user_5662,4,4.0,4.0,4.0,4.0,3.0,0.0,2,2
user_574,13,13.0,13.0,13.0,13.0,12.0,6.0,2,5
user_5822,6,6.0,6.0,6.0,6.0,3.0,0.0,2,3
user_4689,7,6.0,6.0,6.0,6.0,5.0,2.0,2,4
user_8964,7,7.0,7.0,7.0,7.0,7.0,4.0,2,1
user_3910,24,24.0,23.0,23.0,23.0,23.0,15.0,3,5
user_5030,7,7.0,7.0,6.0,6.0,6.0,1.0,2,3
user_1390,24,24.0,24.0,24.0,24.0,22.0,15.0,2,6
user_9294,8,8.0,8.0,8.0,8.0,7.0,2.0,3,3
user_2235,9,9.0,9.0,9.0,8.0,8.0,4.0,2,2
user_8416,10,10.0,10.0,10.0,10.0,8.0,5.0,3,3
user_6177,7,7.0,7.0,7.0,7.0,6.0,3.0,3,2
user_2127,12,12.0,12.0,12.0,12.0,11.0,5.0,2,6
user_6587,12,11.0,11.0,11.0,11.0,9.0,4.0,2,4
user_4635,8,8.0,8.0,7.0,7.0,7.0,2.0,2,5
user_3460,8,8.0,8.0,8.0,7.0,5.0,0.0,2,4
user_2253,11,11.0,11.0,11.0,11.0,10.0,4.0,2,4
user_3045,9,9.0,9.0,9.0,9.0,7.0,4.0,3,3
user_2631,14,14.0,14.0,14.0,13.0,13.0,10.0,3,5
user_1404,14,14.0,14.0,14.0,14.0,13.0,6.0,2,5
user_2263,12,12.0,12.0,12.0,12.0,10.0,5.0,2,7
user_2502,8,8.0,8.0,8.0,7.0,6.0,1.0,2,5
user_7140,6,6.0,6.0,6.0,6.0,6.0,3.0,2,3
user_461,10,10.0,10.0,10.0,10.0,8.0,3.0,2,4
user_7196,8,8.0,8.0,8.0,8.0,8.0,2.0,3,2
user_6586,10,10.0,10.0,10.0,10.0,7.0,5.0,3,5
user_5367,6,6.0,6.0,6.0,6.0,4.0,2.0,2,3
user_9900,9,9.0,9.0,9.0,9.0,7.0,3.0,2,4
user_6835,8,8.0,8.0,8.0,8.0,8.0,4.0,3,2
user_1905,14,14.0,14.0,14.0,14.0,12.0,6.0,3,3
user_4918,9,9.0,8.0,8.0,8.0,8.0,2.0,2,5
user_2443,7,7.0,7.0,7.0,7.0,5.0,0.0,2,4
user_4099,7,7.0,7.0,6.0,6.0,6.0,1.0,2,4
user_1314,8,8.0,8.0,8.0,8.0,8.0,1.0,2,3
user_7821,6,6.0,6.0,6.0,6.0,6.0,1.0,2,2
user_9653,9,9.0,9.0,9.0,9.0,9.0,2.0,1,1
user_9631,8,8.0,8.0,8.0,8.0,7.0,2.0,2,4
user_9057,12,12.0,12.0,12.0,12.0,11.0,3.0,2,3
user_4429,10,10.0,9.0,9.0,9.0,8.0,3.0,3,4
user_8997,6,6.0,6.0,6.0,6.0,4.0,1.0,2,4
user_9747,4,4.0,4.0,4.0,4.0,4.0,0.0,1,2
user_214,6,6.0,6.0,6.0,6.0,4.0,1.0,2,2
user_6006,7,7.0,6.0,6.0,6.0,4.0,2.0,2,4
user_9124,7,7.0,7.0,7.0,7.0,6.0,1.0,2,3
user_2387,17,17.0,15.0,15.0,15.0,13.0,4.0,2,4
user_2559,12,12.0,12.0,12.0,12.0,11.0,5.0,2,4
user_538,10,10.0,10.0,9.0,9.0,8.0,3.0,2,6
user_8986,5,5.0,5.0,5.0,5.0,3.0,1.0,2,3
user_2141,10,10.0,10.0,10.0,9.0,8.0,1.0,2,4
user_9598,5,5.0,5.0,5.0,5.0,5.0,1.0,1,2
user_6020,11,11.0,11.0,11.0,11.0,8.0,3.0,2,5
user_1190,14,14.0,14.0,14.0,14.0,12.0,9.0,3,4
user_6467,9,9.0,9.0,9.0,9.0,6.0,2.0,2,4
user_3195,15,15.0,15.0,15.0,15.0,14.0,9.0,3,5
user_8128,5,5.0,5.0,5.0,5.0,3.0,0.0,2,4
user_2505,15,15.0,15.0,15.0,15.0,13.0,8.0,2,7
user_8059,7,7.0,7.0,7.0,7.0,4.0,1.0,2,3
user_8772,9,9.0,9.0,9.0,9.0,8.0,5.0,3,3
user_6955,12,12.0,12.0,12.0,12.0,10.0,4.0,2,3
